corruption_id,happiness_id,institutional_trust,perceived_corruption
114,114,0.04355,0.95645
115,115,0.08079,0.91921
116,116,0.06232,0.93768
117,117,0.08492,0.91508
118,118,0.1466,0.8533999999999999
119,119,0.17175,0.8282499999999999
120,120,0.07625,0.92375
121,121,0.05907,0.94093
122,122,0.15048,0.84952
123,123,0.08786,0.91214
124,124,0.17461,0.8253900000000001
125,125,0.05839,0.9416100000000001
126,126,0.28105,0.71895
127,127,0.039,0.961
128,128,0.12474,0.87526
129,129,0.19034,0.80966
130,130,0.38331,0.61669
131,131,0.06977,0.93023
132,132,0.09179,0.90821
133,133,0.05786,0.94214
134,134,0.00872,0.99128
135,135,0.06324,0.93676
136,136,0.07854,0.92146
137,137,0.07122,0.9287799999999999
138,138,0.12352,0.87648
139,139,0.11686,0.88314
140,140,0.199,0.8009999999999999
141,141,0.07267,0.92733
142,142,0.10713,0.89287
143,143,0.11091,0.88909
144,144,0.15639,0.84361
145,145,0.07247,0.92753
146,146,0.05747,0.94253
147,147,0.08124,0.91876
148,148,0.08289,0.91711
149,149,0.05269,0.94731
150,150,0.12139,0.87861
151,151,0.17922,0.8207800000000001
152,152,0.12832,0.87168
153,153,0.09719,0.90281
154,154,0.55191,0.44809
155,155,0.0801,0.9198999999999999
156,156,0.18906,0.81094
157,157,0.10062,0.89938
158,158,0.10731,0.89269
159,159,0.44453,0.55547
160,160,0.41203,0.58797
161,161,0.14975,0.85025
162,162,0.35776,0.6422399999999999
163,163,0.41004,0.58996
164,164,0.31329,0.6867099999999999
165,165,0.29927,0.7007300000000001
166,166,0.41904,0.5809599999999999
167,167,0.32331,0.67669
168,168,0.40867,0.59133
169,169,0.08728,0.91272
170,170,0.21348,0.78652
171,171,0.14868,0.85132
172,172,0.10547,0.89453
173,173,0.12275,0.87725
174,174,0.28551,0.7144900000000001
175,175,0.14166,0.85834
176,176,0.26248,0.73752
177,177,0.29754,0.70246
178,178,0.35329,0.64671
179,179,0.18355,0.81645
180,180,0.46987,0.53013
181,181,0.27399,0.72601
182,182,0.11451,0.88549
183,183,0.08423,0.91577
184,184,0.07296,0.92704
185,185,0.03986,0.96014
186,186,0.35561,0.64439
187,187,0.21394,0.78606
188,188,0.17554,0.82446
189,189,0.05399,0.94601
190,190,0.17808,0.82192
191,191,0.02833,0.97167
192,192,0.30008,0.69992
193,193,0.0663,0.9337
194,194,0.48049,0.51951
195,195,0.06137,0.93863
196,196,0.16157,0.83843
197,197,0.08701,0.91299
198,198,0.12692,0.87308
199,199,0.23669,0.7633099999999999
200,200,0.25772,0.74228
201,201,0.01241,0.98759
202,202,0.08304,0.91696
203,203,0.02947,0.97053
204,204,0.10613,0.8938699999999999
205,205,0.09081,0.9091899999999999
206,206,0.16292,0.83708
207,207,0.28333,0.7166699999999999
208,208,0.02556,0.97444
209,209,0.18037,0.81963
210,210,0.10771,0.89229
211,211,0.18985,0.81015
212,212,0.11132,0.88868
213,213,0.01903,0.98097
214,214,0.03586,0.96414
215,215,0.055,0.945
216,216,0.07716,0.92284
217,217,0.07746,0.92254
218,218,0.0182,0.9818
219,219,0.17457,0.82543
220,220,0.16578,0.83422
221,221,0.03635,0.96365
222,222,0.05292,0.94708
223,223,0.28467,0.71533
224,224,0.05203,0.94797
225,225,0.10339,0.89661
226,226,0.0889,0.9111
227,227,0.05228,0.94772
228,228,0.07396,0.92604
229,229,0.00679,0.99321
230,230,0.18519,0.81481
231,231,0.04294,0.95706
232,232,0.04002,0.95998
233,233,0.31647,0.68353
